unit,area_sq_m,class,projection,year,count,fractional_land_area
"Apalachicola National Estuarine Research Reserve, FL",1924776884,other,historical,2005,612,0.019872433
"Apalachicola National Estuarine Research Reserve, FL",1924776884,other,A1B,2050,613,0.019904904
"Apalachicola National Estuarine Research Reserve, FL",1924776884,other,A1B,2060,615,0.019969847
"Apalachicola National Estuarine Research Reserve, FL",1924776884,other,A1B,2070,615,0.019969847
"Apalachicola National Estuarine Research Reserve, FL",1924776884,other,A1B,2080,610,0.019807491
"Apalachicola National Estuarine Research Reserve, FL",1924776884,other,A1B,2090,614,0.019937376
"Apalachicola National Estuarine Research Reserve, FL",1924776884,other,A1B,2100,614,0.019937376
"Apalachicola National Estuarine Research Reserve, FL",1924776884,other,A2,2050,612,0.019872433
"Apalachicola National Estuarine Research Reserve, FL",1924776884,other,A2,2060,615,0.019969847
"Apalachicola National Estuarine Research Reserve, FL",1924776884,other,A2,2070,617,0.02003479
"Apalachicola National Estuarine Research Reserve, FL",1924776884,other,A2,2080,624,0.020262089
"Apalachicola National Estuarine Research Reserve, FL",1924776884,other,A2,2090,629,0.020424445
"Apalachicola National Estuarine Research Reserve, FL",1924776884,other,A2,2100,631,0.020489388
"Apalachicola National Estuarine Research Reserve, FL",1924776884,other,B1,2050,609,0.019775019
"Apalachicola National Estuarine Research Reserve, FL",1924776884,other,B1,2060,607,0.019710077
"Apalachicola National Estuarine Research Reserve, FL",1924776884,other,B1,2070,608,0.019742548
"Apalachicola National Estuarine Research Reserve, FL",1924776884,other,B1,2080,611,0.019839962
"Apalachicola National Estuarine Research Reserve, FL",1924776884,other,B1,2090,612,0.019872433
"Apalachicola National Estuarine Research Reserve, FL",1924776884,other,B1,2100,613,0.019904904
"Apalachicola National Estuarine Research Reserve, FL",1924776884,other,B2,2050,613,0.019904904
"Apalachicola National Estuarine Research Reserve, FL",1924776884,other,B2,2060,610,0.019807491
"Apalachicola National Estuarine Research Reserve, FL",1924776884,other,B2,2070,612,0.019872433
"Apalachicola National Estuarine Research Reserve, FL",1924776884,other,B2,2080,613,0.019904904
"Apalachicola National Estuarine Research Reserve, FL",1924776884,other,B2,2090,612,0.019872433
"Apalachicola National Estuarine Research Reserve, FL",1924776884,other,B2,2100,611,0.019839962
"Apalachicola National Estuarine Research Reserve, FL",1924776884,water,historical,2005,490,0.015910935
"Apalachicola National Estuarine Research Reserve, FL",1924776884,water,A1B,2050,490,0.015910935
"Apalachicola National Estuarine Research Reserve, FL",1924776884,water,A1B,2060,490,0.015910935
"Apalachicola National Estuarine Research Reserve, FL",1924776884,water,A1B,2070,490,0.015910935
"Apalachicola National Estuarine Research Reserve, FL",1924776884,water,A1B,2080,490,0.015910935
"Apalachicola National Estuarine Research Reserve, FL",1924776884,water,A1B,2090,491,0.015943406
"Apalachicola National Estuarine Research Reserve, FL",1924776884,water,A1B,2100,492,0.015975878
"Apalachicola National Estuarine Research Reserve, FL",1924776884,water,A2,2050,490,0.015910935
"Apalachicola National Estuarine Research Reserve, FL",1924776884,water,A2,2060,490,0.015910935
"Apalachicola National Estuarine Research Reserve, FL",1924776884,water,A2,2070,491,0.015943406
"Apalachicola National Estuarine Research Reserve, FL",1924776884,water,A2,2080,492,0.015975878
"Apalachicola National Estuarine Research Reserve, FL",1924776884,water,A2,2090,494,0.01604082
"Apalachicola National Estuarine Research Reserve, FL",1924776884,water,A2,2100,495,0.016073292
"Apalachicola National Estuarine Research Reserve, FL",1924776884,water,B1,2050,492,0.015975878
"Apalachicola National Estuarine Research Reserve, FL",1924776884,water,B1,2060,492,0.015975878
