"","value","count","transition","total_pad_area","frac_land_area"
"1",0,5585,"Other",46812200000,0.00745665659806632
"2",2,92,"Other to Developed",46812200000,0.000122831227756867
"3",5,436,"Other to Natural",46812200000,0.000582113209804282
"4",11,4115,"Water",46812200000,0.00549402719803812
"5",15,2,"Water to Natural",46812200000,2.67024408167102e-06
"6",21,10,"Developed to Water",46812200000,1.33512204083551e-05
"7",22,594,"Developed",46812200000,0.000793062492256292
"8",25,5,"Developed to Natural",46812200000,6.67561020417754e-06
"9",30,33,"Cropland to Other",46812200000,4.40590273475718e-05
"10",32,4,"Cropland to Developed",46812200000,5.34048816334203e-06
"11",33,3331,"Cropland",46812200000,0.00444729151802308
"12",34,482,"Cropland to Hay/Pasture",46812200000,0.000643528823682715
"13",35,658,"Cropland to Natural",46812200000,0.000878510302869765
"14",40,21,"Hay/Pasture to Other",46812200000,2.80375628575457e-05
"15",42,3,"Hay/Pasture to Developed",46812200000,4.00536612250653e-06
"16",43,252,"Hay/Pasture to Cropland",46812200000,0.000336450754290548
"17",44,2282,"Hay/Pasture",46812200000,0.00304674849718663
"18",45,453,"Natural to Other",46812200000,0.000604810284498485
"19",50,760,"Natural to Other",46812200000,0.00101469275103499
"20",51,5,"Natural to Water",46812200000,6.67561020417754e-06
"21",52,407,"Natural to Developed",46812200000,0.000543394670620052
"22",53,954,"Natural to Cropland",46812200000,0.00127370642695708
"23",54,270,"Natural to Hay/Pasture",46812200000,0.000360482951025587
"24",55,27909,"Natural",46812200000,0.0372619210376782
